Código da Habilidade	Campo de experiências	Faixas Etárias	Objetivos de aprendizagem e desenvolvimento	Abordagem das experiências de aprendizagem	Sugestões para o currículo
EI03EF02	Escuta, fala, pensamento e imaginação	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.	As crianças pequenas gostam de jogar com a linguagem, se interessam por explorar seus sons, seus efeitos e intensidades. Imersas em situações na quais conhecem canções, parlendas, poemas e histórias rimadas de forma prazerosa e significativa, em contextos lúdicos e divertidos, se interessam por brincar com a linguagem, desenvolvendo a imaginação, a criatividade e construindo noções da linguagem oral e escrita. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de participar de situações que desenvolvam o hábito e o prazer por escutar, recitar e ler textos poéticos. Em tais atividades, vão observando a importância dos recursos gráficos, além da estrutura dos textos como poemas, parlendas e canções, brincando e declamando diversas vezes em suas brincadeiras ou outras situações significativas os textos conhecidos, chegando a memorizar trechos, participando de situações de declamação, divertindo-se e conversando sobre as palavras rimadas ao brincar com seu ritmo, identificando rimas, assonâncias e aliterações. Assim, podem compreender as relações entre a oralidade e a escrita ao participar de atividades em pequenos grupos nos quais buscam corresponder a leitura dos textos queridos que já conhecem de memória com sua escrita.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para crianças pequenas, é possível construir objetivos específicos relacionados à estrutura dos textos poéticos, como, por exemplo, identificar que os textos se dividem em partes e o verso corresponde a uma delas, ou relacionados à recitação, declamando suas poesias e parlendas preferidas fazendo uso de ritmo e entonação. O currículo pode abordar atitudes a serem desenvolvidas, como divertir-se e interessar-se por brincar com os textos poéticos em suas brincadeiras livres com outras crianças. O currículo local pode, ainda, destacar textos poéticos típicos de seu território.
EI01EF03	Escuta, fala, pensamento e imaginação	Bebês (zero a 1 ano e 6 meses)	  Demonstrar interesse ao ouvir histórias lidas ou contadas, observando ilustrações e os movimentos de leitura do adulto-leitor (modo de segurar o portador e de virar as páginas).	Os bebês aprendem sobre a linguagem, a representação e o pensamento simbólico quando imersos em situações que provocam sua imaginação, que enriquecem suas brincadeiras de faz de conta e que os apoiam a atribuir sentido às relações e ao mundo à sua volta. Os contextos em que escutam histórias, lidas ou contadas, favorecem essas aprendizagens e, quando acompanhadas de convite a interações com os livros, tendo a oportunidade de explorá-los e manuseá-los, aprendem, ainda, ações e comportamentos típicos do uso desse portador de texto. Nesse contexto, é importante que os bebês participem de situações nas quais possam escutar repetidas vezes as mesmas histórias lidas ou contadas pelo(a) professor(a), apropriando-se de um repertório de histórias conhecidas. Além disso, os bebês são convidados a brincar com elementos de sua narrativa, e a imitar, em suas brincadeiras livres, ações e falas dos personagens que lhes são queridos, a partir da organização dos espaços e da disponibilização de brinquedos e materiais. É importante que possam, também, participar de situação individuais, em pares ou trios, nas quais explorem os livros e suas imagens, compartilhem com seus colegas e/ou com o(a) professor(a) seus interesses apontando ilustrações, nomeando imagens que lhes chamam a atenção e manifestando suas emoções a partir das histórias por meio de gestos, movimentos e balbucios.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para bebês, é possível construir objetivos específicos relacionados à leitura — por exemplo, conhecer um conjunto de histórias ou formar um repertório de histórias preferidas ou, ainda, imitar comportamentos do(a) professor(a) ou de seus colegas ao explorar livros. O currículo pode construir objetivos relacionados ao vocabulário, como ampliar o conjunto de palavras conhecidas fazendo uso destas ao apontar ilustrações nos livros ou, ainda, abordar atitudes a serem desenvolvidas, como ter prazer ao escutar histórias lidas, contadas com fantoches, representadas em encenações, escutadas em áudios etc. O currículo local pode, ainda, destacar livros típicos de seu território que são adequados a essa faixa etária.
EI02EF03	Escuta, fala, pensamento e imaginação	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Demonstrar interesse e atenção ao ouvir a leitura de histórias e outros textos, diferenciando escrita de ilustrações, e acompanhando, com orientação do adulto-leitor, a direção da leitura (de cima para baixo, da esquerda para a direita).	As crianças bem pequenas aprendem a gostar de escutar histórias e outros textos na medida em que participam de situações significativas compartilhadas com seus pares. A escuta da leitura de diferentes tipos de textos favorece que aprendam sobre a linguagem escrita e, mais especificamente, sobre a linguagem que é usada em cada tipo de texto, sua função, seu conteúdo e seu formato. Participar de diversas situações em que observam alguém lendo histórias também favorece que aprendam procedimentos típicos de leitores. Nesse contexto, é importante que as crianças bem pequenas tenham a oportunidade de participar de diferentes e repetidas situações de escuta de textos, apoiadas pela mediação intencional dos(as) professores(as), que propiciam a reflexão sobre a relação das ilustrações com o texto, proporcionado atividades em pequenos grupos, como, por exemplo, nas quais as crianças são desafiadas a ordenar ilustrações de uma história, bem como atividades individuais, nas quais são convidadas a desenhar o momento da narrativa que gostaram mais. Ainda, situações em que os(as) professores(as) são modelos de procedimentos típicos de leitores são interessantes, pois as crianças imitam alguns comportamentos, como, por exemplo, nas situações de leitura em voz alta, ou o ato de acompanhar com o dedo a parte do texto que está sendo lido, de identificar em um índice o número da página em que está o texto a ser lido, usar a ilustração como referência para lembrar uma passagem do texto etc.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para crianças bem pequenas, é possível construir objetivos específicos relacionados à ilustração como uma linguagem visual, como, por exemplo, fazer uso de diferentes técnicas, materiais e recursos gráficos para produzir ilustrações ou perceber que algumas apresentam o que está escrito na narrativa e outras complementam ou agregam uma nova informação ao texto. O currículo pode especificar objetivos relacionados aos procedimentos leitores, como buscar o título da história no índice, ler textos memorizados com a ajuda do(a) professor(a), fazendo uso de procedimentos como acompanhar o texto com o dedo seguindo da esquerda para a direita. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se pelas ilustrações dos livros buscando identificar sua relação com o texto lido.
EI03EF03	Escuta, fala, pensamento e imaginação	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.	As crianças pequenas aprendem a gostar das histórias e dos livros a partir das diferentes situações que vivenciam, nas quais têm prazer e atribuem sentido ao conteúdo das narrativas. Conforme têm a oportunidade de participar de situações de escuta de histórias, desenvolvem o hábito da leitura e, ao vivenciarem diversas oportunidades de escolha das histórias a serem lidas, desenvolvem o gosto pessoal por algumas narrativas. A participação em diferentes situações de leitura do mesmo texto também favorece que as crianças pequenas possam memorizar trechos deles, identificando palavras conhecidas, suas ilustrações, e a parte do texto escrito a que se referem. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de construir um repertório de histórias conhecidas e memorizadas, participando de situações de leitura com os colegas e sendo convidadas a recontar narrativas, apoiadas nas ilustrações ou na identificação de partes do texto ou de palavras conhecidas. É importante, também, que as crianças tenham acesso aos livros em diferentes momentos do seu cotidiano escolar e que possam explorá-los e manuseá-los com tempo, fazendo suas investigações, brincando com seu enredo e criando contextos de leitura e dramatização em suas brincadeiras individuais ou em pequenos grupos.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para crianças pequenas, é possível construir objetivos específicos relacionados ao uso da ilustração como apoio para a leitura, como, por exemplo, ordenar ilustração e corresponder com o texto, e relacionados ao sistema de escrita, como em localizar no texto o nome dos personagens ou escrever lista dos personagens da história. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se por folhear livros e escolher aqueles que mais gostam para ler em momentos individuais.
EI02EF05	Escuta, fala, pensamento e imaginação	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Relatar experiências e fatos acontecidos, histórias ouvidas, filmes ou peças teatrais assistidos etc.	As crianças, desde bem pequenas, são comunicadoras natas. Elas aprendem a comunicar-se fazendo uso da linguagem verbal conforme têm a oportunidade de falar sobre as suas experiências, observações, ideias e necessidades. As crianças bem pequenas sentem vontade de conversar porque querem compartilhar suas experiências com pessoas que lhes são importantes, querem falar de suas descobertas e pensamentos com a intenção de construir uma compreensão melhor de suas experiências pessoais. Nesse contexto, é importante que as crianças bem pequenas possam vivenciar diferentes situações nas quais são convidadas e incentivadas a falar livremente com os(as) professores(as), que as escutam atentamente e são responsivos(as) às suas ideias, sentimentos e emoções. Também devem ser incentivadas a conversar umas com as outras, contando seus planos, suas experiências pessoais significativas, descrevendo objetos, acontecimentos e relações, brincando e construindo narrativas comuns, negociando papéis, cenários e lidando com possíveis conflitos. Assim, podem atribuir significado à sua comunicação e construir uma base sólida para a aprendizagem da linguagem.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças bem pequenas, é possível construir objetivos específicos relacionados à oralidade, como, por exemplo, expressar-se verbalmente em conversas, narrações e brincadeiras, ampliando seu vocabulário e fazendo uso de estruturas orais que aprimorem suas competências comunicativas, ou compreender o conteúdo e o propósito de diferentes mensagens em diversos contextos. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, tais como contribuir em situações de conversas em grandes e pequenos grupos ou duplas, relatando suas experiências pessoais e interessando-se por escutar o relato dos colegas.
EI01EF04	Escuta, fala, pensamento e imaginação	Bebês (zero a 1 ano e 6 meses)	  Reconhecer elementos das ilustrações de histórias, apontando-os, a pedido do adulto-leitor.	Os bebês aprendem a se comunicar, a fazer uso da linguagem conforme têm a oportunidade de participar de situações em que a linguagem está presente e a interação ajuda a dar significado para suas vivências, por meio de situações de dar e receber. Ao serem convidados a escutar histórias, observando as suas ilustrações, apoiados pelo(a) professor(a) que valoriza e incentiva suas explorações, os bebês aprendem a se comunicar, a atribuir sentido para as imagens representadas nos livros e sua relação com as histórias narradas. Assim, vivem emoções e têm a oportunidade de expressá-las de diferentes formas, usando o corpo, por meio de seus movimentos e gestos, fazendo expressões faciais, balbuciando e reagindo frente às emoções despertadas . Nesse contexto, é importante que os bebês participem de situações nas quais possam escutar repetidas vezes histórias acompanhadas por ilustrações lidas pelo(a) professor(a), sendo valorizados em suas diferentes formas de reagir e expressar seus sentimentos e curiosidades frente à narrativa escutada. Assim, apropriam-se de um repertório de narrações conhecidas. É interessante, ainda, que os bebês participem de jogos rítmicos em que o(a) professor(a) os anima a imitar sons variados, ou em jogos de nomeação em que o(a) professor(a) aponta para algo, propõe a questão: “O que é isso?” e apoia o bebê a responder, e que explorem livros com imagens contando com o olhar e observação atenta do(a) professor(a), que pode valorizar e incentivar suas iniciativas.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para bebês, é possível construir objetivos específicos relacionados à leitura, por exemplo, observar e manusear livros com imagens, apontar fotos e figuras em livros, nomear personagens ou objetos conhecidos em ilustrações dos livros, ou, ainda, abordar atitudes a serem desenvolvidas, como interessar-se pelas ilustrações e imagens dos livros buscando atribuir a elas algum significado e expressando-se de diferentes formas ao interagir com a narrativa. O currículo local pode, ainda, destacar livros com imagens típicos de seu território que são adequados a essa faixa etária.
EI02EF04	Escuta, fala, pensamento e imaginação	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Formular e responder perguntas sobre fatos da história narrada, identificando cenários, personagens e principais acontecimentos.	As crianças bem pequenas se interessam pela escuta de histórias e, a partir de um repertório de narrações conhecidas, buscam identificar regularidades nos diferentes textos, conversando e refletindo para além do seu conteúdo, mas também sobre sua estrutura. Apoiar as conversas das crianças sobre a estrutura da história favorece que conheçam melhor o ambiente letrado e tenham uma participação mais ativa no universo dos livros e suas narrativas. Nesse contexto, é importante propiciar situações às crianças bem pequenas nas quais elas possam refletir sobre a estrutura da narrativa, respondendo a perguntas como: "quem?", "o que?", "quando?", "como?" e "por quê?". Essas perguntas as aproximam de aspectos-chave da organização textual. Situações que favorecem essas reflexões implicam que as crianças bem pequenas possam falar sobre os personagens e cenários da história, identificando, por exemplo, algumas de suas características, bem como possam conversar, com o apoio do(a) professor(a), sobre as ações e intenções dos personagens nas diferentes situações da narrativa; ainda, permite às crianças serem convidadas a recontar ou dramatizar a história apoiada nas suas ilustrações.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para crianças bem pequenas, é possível construir objetivos específicos relacionados à estrutura do texto, como, por exemplo, identificar personagens e/ou cenários e descrever suas características, ou, ainda, construir objetivos relacionados à sequência da narrativa, como ordenar partes do texto segundo a sequência da história apoiado por ilustrações. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se por identificar características dos personagens das histórias para incrementar cenários e adereços em suas brincadeiras de faz de conta.
EI03EF04	Escuta, fala, pensamento e imaginação	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.	As crianças pequenas aprendem a construir e representar histórias conforme têm a oportunidade de participar de situações em que podem se apropriar da estrutura da narrativa, identificando seus personagens e cenários, sua trama e sua sequência cronológica, bem como de situações em que possam brincar com o conteúdo de suas narrativas. Nesse contexto, é importante que as crianças pequenas participem de diversas situações de escuta de histórias, seja por meio da leitura pelo(a) professor(a), por outra criança, por apresentações de teatro, dança, assistindo a filmes ou escutando áudios. A partir da participação nessas situações, as crianças têm a oportunidade de se apropriar das narrativas e se interessam por conversar e brincar com elas, desenvolvendo sua imaginação e sua criatividade, ao mesmo tempo em que se apropriam de noções da linguagem e da escrita. Favorecer que as crianças possam ter um conjunto de histórias conhecidas, sobre as quais tenham conversado acerca dos elementos da estrutura narrativa, identificando personagens, cenários, trama e sequência cronológica, as apoia na construção de roteiros de vídeos ou encenações.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à estrutura da narrativa, como, por exemplo, identificar personagens, cenários, trama, sequência cronológica, ação e intenção dos personagens, ou objetivos relacionados à língua escrita, como encontrar diálogos memorizados no texto escrito ou ditar partes da história ao participar da construção de roteiros de vídeos ou encenações. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como envolver-se em situações de pequenos grupos, contribuindo para a construção de roteiros de vídeos ou encenações coletivas.
EI01EF05	Escuta, fala, pensamento e imaginação	Bebês (zero a 1 ano e 6 meses)	  Imitar as variações de entonação e gestos realizados pelos adultos, ao ler histórias e ao cantar.	Os bebês aprendem sobre a linguagem em contextos diversos de seu uso – verbal ou não-verbal. As variações de entonação, os gestos e os movimentos que acompanham a leitura de uma história pelo(a) professor(a) auxiliam os bebês a atribuírem sentido à história, a desenvolverem o gosto por escutar, bem como a ampliarem suas formas de expressão e de interação com a narrativa, aumentando seus modos de comunicação e participação nessas situações. Nesse contexto, é importante que os bebês participem de situações nas quais possam escutar repetidas vezes histórias lidas, contadas, representadas por fantoches, narradas por áudio, por encenações de dramatização ou dança, narradas com apoio de imagens etc. É importante considerar que as narrações sejam acompanhadas por diferentes entonações e formas de expressão que dão vida aos personagens ou elementos da narrativa. Recomenda-se propiciar momentos em que os bebês possam observar os(as) professores(as) lendo histórias acompanhadas por gestos e movimentos, sendo convidados a repeti-los ou criá-los. Também é interessante que repitam acalantos, cantigas de roda, poesias e parlendas, explorando o ritmo, a sonoridade e a conotação das palavras, e escutem histórias, contos de repetição e poemas.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para bebês, é possível construir objetivos específicos relacionados à comunicação — por exemplo, comunicar-se por meio da vocalização, gestos ou movimentos nas situações de leitura de história ou, em situações de brincadeiras, usar palavras acompanhadas de gestos para comunicar-se e usar palavras aprendidas nas histórias escutadas. O currículo pode construir objetivos relacionados à representação, como brincar com enredos, objetos ou adereços, tendo como referência histórias conhecidas ou, ainda, a leitura, explorar livros buscando contar suas histórias, fazendo uso de diferentes entonações, gestos, expressões ou movimentos corporais. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se por observar e imitar entonações, gestos, movimentos ou expressões ao participar de situações de leitura de história ou de explorações de livros.
EI03EF05	Escuta, fala, pensamento e imaginação	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Recontar histórias ouvidas para produção de reconto escrito, tendo o professor como escriba.	As crianças pequenas interessam-se por escrever suas histórias e também por ditá-las a um(a) professor(a), que as escreve. A escolha por ditar a história, na maioria das vezes, acontece quando as crianças sabem que aquilo que querem escrever é mais complexo do que a capacidade que possuem para ler. Ao ter a oportunidade de ditar um texto aos(às) professores(as), as crianças podem desenvolver a capacidade de recuperar um texto de memória, de atentar para a sua linguagem, de controlar a velocidade da fala, de conscientizar-se sobre a estabilidade de um texto e sobre a diferença entre o texto escrito e aquilo que se fala sobre ele. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de escutar diversas vezes as mesmas histórias, de forma a se apropriarem de elementos de sua estrutura narrativa e memorizarem algumas partes. A partir de um bom repertório de narrações conhecidas e memorizadas, é importante que o(a) professor(a) convide e incentive as crianças para que criem e/ou escrevam suas próprias narrativas ou que recontem histórias tendo-o(a) como escriba. Escrever o texto ditado e depois lê-lo para elas faz com que as crianças verifiquem as mudanças necessárias para melhorar o texto escrito. Escrever de forma lenta e organizar contextos de ditado em pequenos grupos ajuda que todos possam participar da atividade. É desejável também que as crianças relatem aos colegas histórias lidas por alguém de sua família,  possam escolher e gravar poemas para enviar a outras crianças ou aos familiares e participem de sarau literário, narrando ou recitando seus textos favoritos.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à língua escrita, como, por exemplo, compreender que a escrita representa a fala ou perceber a diferença entre dizer e ditar. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como, por exemplo, interessar-se por participar de situações coletivas de criação ou reconto de histórias.
EI01EF06	Escuta, fala, pensamento e imaginação	Bebês (zero a 1 ano e 6 meses)	  Comunicar-se com outras pessoas usando movimentos, gestos, balbucios, fala e outras formas de expressão.	Os bebês aprendem a comunicar-se conforme têm a oportunidade de vivenciar situações significativas de interações, nas quais respondem a uma solicitação ou gesto intencional de comunicação, fazendo uso de diferentes formas de expressão para além da linguagem verbal, como por meio da plástica, da dança, da mímica, da música etc. Assim, aprendem a se comunicar nas situações em que são convidados a fazer uso da linguagem verbal, mas também de outras linguagens, para expressar seus desejos, ideias e necessidades. Por exemplo, por meio dos gestos, podem mostrar a função de determinado objeto, ao mesmo tempo em que imitam o seu barulho — em um contexto de brincadeira, imitar o barulho da buzina de um carro ao apontá-la, dizer cocoricó ao ver a imagem da galinha etc. —, nas situações de leitura de história, olhar para a mesma imagem que o(a) professor(a) está olhando, compartilhando com ele(a) sua atenção e mostrando interesse. Nesse contexto, é importante que os bebês participem de situações de interação com professores(as) atentos(as) e responsivos(as), que atendam às suas manifestações de gestos, expressões e movimentos, atribuindo sentido e valor à sua intencionalidade, que façam uso da linguagem verbal, acreditando e valorizando sua competência comunicativa, solicitando ações individuais, propondo brincadeiras de interação professor(a)-bebê que envolvam jogos corporais — como, por exemplo, esconder partes do corpo e ter prazer ao encontrar, situações de dar e receber —, e tenham a oportunidade de brincar e interagir com seus colegas, buscando se fazer comunicar.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para bebês, é possível construir objetivos específicos relacionados a formas de expressão, por exemplo, por meio de gestos, expressando "sim" ou "não" balançando a cabeça, por meio da atenção compartilhada ao olhar para a mesma coisa que o(a) professor(a) ou o colega está olhando, ou construir objetivos específicos relacionados à comunicação, como sinalizar, por meio da vocalização, balbucios, gestos, movimentos e expressões gráficas algo que deseja, além de fazer uso de palavras/frases que possam comunicar uma ideia, uma intenção ou uma necessidade. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, tais como interessar-se por comunicar-se com professores(as) e colegas fazendo uso de diferentes formas de expressão e buscando se fazer entender e também contextualizar vivências dos bebês nas suas diferentes possibilidades de se expressar, destacando quais os gestos que são comuns em sua cultura — dar tchau balançando a mão, falar "não" mexendo o dedo indicador, brincar com o barco emitindo o som do impacto dele nas águas ou brincar de carro imitando o seu som ao acelerar – “vrummm”.
EI02EF06	Escuta, fala, pensamento e imaginação	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Criar e contar histórias oralmente, com base em imagens ou temas sugeridos.	As crianças bem pequenas gostam de brincar com a linguagem, de escutar a leitura de histórias e de criar ou contar narrativas que criaram e/ou conhecem a outras crianças ou professores(as). Ao criar ou contar suas histórias, sentem-se confiantes em sua capacidade comunicativa, ao mesmo tempo em que se divertem e aprendem sobre o uso da linguagem e sua eficácia como meio de comunicação. Nesse contexto, é importante que as crianças bem pequenas tenham muitas oportunidades de brincar fazendo uso da linguagem, sendo acolhidas na descrição que gostam de fazer sobre suas ações e intenções no brincar. Além disso, também é importante que possam contar aos(às) professores(as) e colegas histórias criadas ou conhecidas, que sejam incentivadas em situações individuais ou em pequenos grupos a criar narrativas a partir da apreciação de fatos, imagens ou de temas que são do seu interesse.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças bem pequenas, é possível construir objetivos específicos relacionados ao reconto de histórias, como, por exemplo, recontar histórias ao brincar de faz de conta, fazer relações entre diferentes histórias conhecidas e ditar histórias criadas ou memorizadas ao(à) professor(a). O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, tais como gostar de participar de situações em que é convidado a contar ou criar histórias com ou sem o apoio de imagens, fotos ou temas disparadores.
EI03EF06	Escuta, fala, pensamento e imaginação	Crianças pequenas (4 anos a 5 anos e 11 meses)	  Produzir suas próprias histórias orais e escritas (escrita espontânea), em situações com função social significativa.	As crianças pequenas interessam-se por produzir suas histórias e por escrevê-las, registrando-as de diferentes formas, pela escrita espontânea, ditando ao(à) professor(a), desenhando, brincando de faz de conta etc. Ao ter a oportunidade de produzir suas histórias e comunicá-las em situações com função social significativa, reforçam sua imagem de comunicadores competentes e valorizam sua criatividade. Nesse contexto, é importante que as crianças pequenas tenham a oportunidade de escutar diversas vezes as mesmas histórias, de forma a se apropriarem de elementos de sua estrutura narrativa e memorizar partes do texto, podendo recontá-lo em contextos de função social, como em saraus literários, em uma peça de teatro, na construção da narrativa de uma encenação etc. Da mesma forma, um repertório de histórias conhecidas apoia as crianças na criação de suas próprias narrações, que podem ser contadas nas mesmas situações descritas anteriormente ou, ainda, que possam criar uma história de aventuras, definindo o ambiente em que ela ocorre, e as características e desafios de seus personagens.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças pequenas, é possível construir objetivos específicos relacionados à linguagem escrita, como, por exemplo, fazer uso de expressões da linguagem da narrativa, como em "era uma vez", ao recontar ou criar suas próprias histórias. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, tais como envolver-se em situações de reconto de histórias expressando satisfação e gosto por suas conquistas.
EI02EF08	Escuta, fala, pensamento e imaginação	Crianças bem pequenas (1 ano e 7 meses a 3 anos e 11 meses)	  Manipular textos e participar de situações de escuta para ampliar seu contato com diferentes gêneros textuais (parlendas, histórias de aventura, tirinhas, cartazes de sala, cardápios, notícias etc.).	As crianças bem pequenas aprendem sobre os textos ao terem diferentes oportunidades de escutar, explorar e conversar sobre diferentes gêneros textuais, em diferentes suportes. Nesse contexto, é importante que as crianças bem pequenas tenham a oportunidade de participar de diferentes situações de leitura de diversos gêneros textuais, como, por exemplo, as histórias, parlendas, trava-línguas, receitas, indicações de leitura ou programação cultural em jornais ou revistas, leitura da capa de CDs, DVDs etc. Também é importante que esses textos, em seus suportes, estejam disponíveis de forma acessível, para que possam explorá-los e usá-los em suas brincadeiras e atividades individuais ou em pequenos grupos.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para as crianças bem pequenas, é possível construir objetivos específicos relacionados à familiaridade com diferentes gêneros textuais, como, por exemplo, brincar recitando parlendas, buscar o jornal para encontrar informação sobre uma atividade cultural, participar de atividades de culinária fazendo uso de livros de receitas etc. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se por participar de situações de exploração de portadores de diferentes gêneros textuais em brincadeiras ou atividades de pequenos grupos e também identificar suportes e gêneros textuais que sejam típicos de seu território.
EI01EF07	Escuta, fala, pensamento e imaginação	Bebês (zero a 1 ano e 6 meses)	  Conhecer e manipular materiais impressos e audiovisuais em diferentes portadores (livro, revista, gibi, jornal, cartaz, CD, tablet etc.).	Os bebês aprendem por meio das explorações, investigações e descobertas que fazem com os objetos, brinquedos e materiais do mundo físico e natural. Quando têm a oportunidade de interagir e explorar diferentes materiais, impressos, audiovisuais ou, ainda, outros recursos tecnológicos e midiáticos, em contextos significativos, podem atribuir sentido e significado ao seu uso e propósito. Nesse contexto, é importante que os bebês possam participar de situações individuais, em duplas e pequenos grupos, em que se faça uso de diferentes recursos, como, por exemplo, participar de leitura e momentos de exploração livre de livros, poemas, parlendas, escutar música no rádio, no gravador, no computador/tablet ou no celular, fazer uso de gravadores, filmadoras ou máquinas fotográficas, conversar com os(as) professores(as) e colegas sobre o uso e as possibilidades de manuseio dos materiais e encontrar, nos contextos de suas brincadeiras, esses diferentes recursos. Assim, podem fazer uso segundo suas escolhas e suas atribuições de sentido e significado.	Ao formular objetivos de aprendizagem e desenvolvimento específicos para o currículo, é desejável detalhar noções, habilidades, atitudes e/ou especificidades locais para cada um dos objetivos de aprendizagem e desenvolvimento da BNCC. Para bebês, é possível construir objetivos específicos relacionados à exploração de materiais impressos. Por exemplo, explorar diferentes tipos de materiais impressos imitando ações e comportamentos típicos de um leitor, como virar a página, apontar as imagens, usar palavras, gestos ou vocalizações na intenção de ler em voz alta o que está escrito. O currículo pode criar objetivos relacionados ao uso de recursos tecnológicos ou midiáticos, como identificar o uso e a função de alguns deles, por exemplo, dançando ou cantando quando o(a) professor(a) pega um CD, encenando frente a uma filmadora ou buscando sua imagem na máquina fotográfica. O currículo local pode, ainda, abordar atitudes a serem desenvolvidas, como interessar-se pela exploração de diferentes materiais impressos e audiovisuais, solicitando sua utilização ou fazendo uso deles em suas brincadeiras.
