COMPONENTE	ANO/FAIXA	EIXO - CAMPOS DE ATUAÇÃO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	CÓDIGO HABILIDADE	HABILIDADES	COMENTÁRIO	POSSIBILIDADES PARA O CURRÍCULO
Língua Inglesa	8º	Eixo conhecimentos linguísticos	Gramática	Quantificadores	EF08LI16	Utilizar, de modo inteligível, corretamente, some, any, many, much.	Utilizar determinado conteúdo de modo inteligível pressupõe empregar tais conteúdos em textos e interações orais , compreendendo seu uso e forma, e comunicando ideias compreensíveis na língua inglesa, ainda que, do ponto de vista da forma/estrutura, o emprego não seja  preciso.	Na elaboração do currículo, é possível articular esta habilidade com as propostas de interação oral e de produção de textos significativos e apropriados aos contextos de uso. Assim como todas as habilidades que pertencem ao eixo Conhecimentos linguísticos, essa também deve estar articulada às práticas de linguagem (para compreender, assistir, ouvir textos, para escrever, compor, produzir textos, para conversar, discutir, debater assuntos). Portanto, ela deve ser trabalhada por meio de atividade do uso, análise e reflexão sobre a língua voltado para as práticas de linguagem.  Outra sugestão é trabalhar a habilidade de modo contrastivo, para a identificação de similaridades e diferenças entre a língua inglesa, a língua portuguesa e outras línguas que porventura o estudante conheça.
Língua Inglesa	8º	Eixo conhecimentos linguísticos	Gramática	Pronomes relativos	EF08LI17	Empregar, de modo inteligível, os pronomes relativos (who, which, that, whose) para construir períodos compostos por subordinação.	Empregar os pronomes relativos de forma inteligível pressupõe utilizar tais conteúdos em textos e interações orais , entendendo seu uso e forma, e comunicando ideias compreensíveis na língua inglesa, ainda que, do ponto e vista da forma/estrutura , o emprego não seja  preciso.	Na elaboração do currículo, é possível articular esta habilidade com as propostas de atividades de interação oral e de produção de textos significativos e apropriados aos contextos de uso. Assim como todas as habilidades que pertencem ao eixo Conhecimentos linguísticos, essa também deve estar articulada às práticas de linguagem (para compreender, assistir, ouvir textos, para escrever, compor, produzir textos, para conversar, discutir, debater assuntos). Em outras palavras, deve constituir uma habilidade que só pode ser desenvolvida porque está articulada, a serviço das práticas de linguagem. Portanto,   ela deve ser trabalha por meio do uso, análise e reflexão sobre a língua voltado para as práticas de linguagem.  Outra sugestão é trabalhar a habilidade de modo contrastivo, para a identificação de similaridades e diferenças entre a língua inglesa, a língua portuguesa e outras línguas que porventura o estudante conheça.
Língua Inglesa	8º	Eixo dimensão intercultural	Manifestações culturais	Construção de repertório artístico-cultural	EF08LI18	Construir repertório cultural por meio do contato com manifestações artístico-culturais vinculadas à língua inglesa (artes plásticas e visuais, literatura, música, cinema, dança, festividades, entre outros), valorizando a diversidade entre culturas.	Construir repertório cultural significa incorporar a seus conhecimentos de mundo outros conhecimentos sobre aspectos culturais de diferentes povos, potencializando a valorização desse conhecimento na constituição da própria identidade. . A habilidade enfatiza a língua inglesa enquanto ferramenta de acesso a manifestações artístico-culturais de outros povos, propiciando o respeito a como diferentes povos manifestam seus modos de vida e de entender a realidade. .	Na elaboração do currículo, recomenda-se que esta habilidade seja trabalhada de modo contínuo ao longo do ano, bem como em outros anos, de modo a conscientizar os alunos sobre a importância de, por meio das práticas de leitura e compreensão de textos orais, ampliar o conhecimento sobre a cultura de outros povos, em especial sobre  manifestações culturais diversas. Há, aqui, oportunidade para o trabalho interdisciplinar com a habilidade (EF69AR34), em  Arte, no que se refere a conhecer, analisar e valorizar o patrimônio artístico-cultural de culturas diversas.
Língua Inglesa	8º	Eixo dimensão intercultural	Comunicação intercultural	Impacto de aspectos culturais na comunicação	EF08LI19	Investigar de que forma expressões, gestos e comportamentos são interpretados em função de aspectos culturais.	Investigar pressupõe pesquisar e analisar de que forma os gestos, expressões e comportamentos estão relacionados a aspectos culturais de diferentes povos. Esta habilidade amplia outras trabalhadas anteriormente (EF07LI03 e EF08LI02).	Na elaboração do currículo, sugere-se articular esta habilidade com as propostas de  compreensão de textos orais, escritos, multimodais (por exemplo, infográficos, vídeos) sobre diferenças culturais em relação a linguagem corporal e aspectos relativos a comportamentos, que podem causar má compreensão entre diferentes falantes. Uma estratégia é a elaboração de projetos de investigação sobre esse tema, selecionando aspectos específicos das culturas (por exemplo, rituais, simbologia (como a das cores), costumes, relação com a comida, etc.) para que os estudantes percebam a relação intrínseca entre língua e cultura. A habilidade tem potencial para exercitar a formulação de hipóteses, a interpretação de dados, e o raciocínio dedutivo. Outra sugestão é desenvolver a habilidade com outros componentes curriculares em projetos interdisciplinares.
Língua Inglesa	8º	Eixo dimensão intercultural	Comunicação intercultural	Impacto de aspectos culturais na comunicação	EF08LI20	Examinar fatores que podem impedir o entendimento entre pessoas de culturas diferentes que falam a língua inglesa.	Esta habilidade pressupõe identificar e analisar fatores que podem impedir o entendimento entre pessoas de diferentes culturas, que usam o inglês para a comunicação entre elas . Remete para  a  conscientização sobre os motivos pelos quais esse impedimento acontece (porque há modos diferentes de expressar ideias e entender a realidade,  que se manifestam nas expressões, no jeito de usar a língua, nos gestos, etc.).	Na elaboração do currículo, recomenda-se que esses fatores sejam examinados em situações de interação oral, por meio de vídeos, trechos de filmes, que abordem o assunto sobre mal-entendidos em situações de uso da língua (na condição de um turista, por exemplo, que não compreende a cultura local e se comporta de uma forma não costumeira naquela cultura, dentre outras possibilidades). A habilidade pode ser ampliada para um projeto de pesquisa sobre tais situações, conhecidas pelos alunos, ou aplicadas em língua portuguesa, em situações de comunicação com turistas estrangeiros no Brasil . Nesse caso, a leitura ou a escuta do texto referido poderá servir de referência para uma discussão sobre estratégias de acomodação que os falantes, usando a língua inglesa, podem usar para evitar mal-entendidos, interpretações equivocadas, etc.
Língua Inglesa	9º	Eixo oralidade	Interação discursiva	Funções e usos da língua inglesa: persuasão	EF09LI01	Fazer uso da língua inglesa para expor pontos de vista, argumentos e contra-argumentos, considerando o contexto e os recursos linguísticos voltados para a eficácia da comunicação.	Fazer uso da língua inglesa pressupõe comunicar-se em uma interação social, tendo a oportunidade de vivência oral com o idioma. A habilidade envolve  produção de texto oral, a interação discursiva e pressupõe o trabalho com elementos de  persuasão	Na elaboração do currículo, é importante orientar que a prática oral aconteça em situações significativas de uso da língua inglesa, onde haja o acolhimento e a legitimação de diferentes formas de expressão da língua. É importante que, nessas interações, os alunos possam utilizar recursos argumentativos e persuasivos para expor e defender seus pontos de vista sobre assuntos variados, pertinentes à faixa etária dos estudantes e relacionados a temas relevantes para os contextos locais e/ou de interesse dos estudantes. Os currículos devem valorizar o critério da inteligibilidade na interação e, nesse processo, ampliar e retomar outras habilidades desenvolvidas em anos anteriores é fundamental. .
Língua Inglesa	9º	Eixo oralidade	Compreensão oral	Compreensão de textos orais, multimodais, de cunho argumentativo	EF09LI02	Compilar as ideias-chave de textos por meio de tomada de notas.	Esta habilidade requer que o  estudante compreenda textos orais, de cunho argumentativo,  e tome notas das ideias principais, organizando-as para melhor entendimento do seu conteúdo.	Na elaboração do currículo, recomenda-se enfatizar a seleção de textos orais   e  multimodais, de cunho argumentativo, disponíveis em diferentes mídias (programas de debate na rádio, podcasts, videodocumentários, entrevistas com especialistas, dentre outros) , de modo que a sua compreensão esteja articulada com a ideia da língua inglesa como instrumento que amplia as possibilidades de informação no mundo globalizado e multiletrado, que inclui, principalmente, o mundo digital. Uma estratégia que pode ajudar na escolha do texto oral é a seleção de temas e mídias que dialoguem com um propósito político e social local, contribuindo para o engajamento crítico dos estudantes e para o exercício da cidadania ativa. Nos currículos, esta habilidade pode dialogar com as habilidades do eixo leitura (EF09LI05, EF09LI06, EF09LI07 e EF09LI09), afinal, as estratégias de compreensão de textos em inglês, sejam eles orais ou escritos, se assemelham, apesar das particularidades de cada uma das modalidades da língua.
Língua Inglesa	9º	Eixo oralidade	Compreensão oral	Compreensão de textos orais, multimodais, de cunho argumentativo	EF09LI03	Analisar posicionamentos defendidos e refutados em textos orais sobre temas de interesse social e coletivo.	Esta habilidade requer que o estudante compreenda textos orais, de cunho argumentativo, localizando e compreendendo os  posicionamentos defendidos e refutados pelos participantes.	Na elaboração do currículo, pode-se contar com a seleção de textos, de cunho argumentativo, de modo que a sua compreensão esteja articulada com a ideia da língua inglesa como instrumento que amplia as possibilidades de informação no mundo globalizado e multiletrado, que inclui, principalmente, o mundo digital. Uma estratégia  para a a escolha desses textos é a seleção de temas e mídias que dialoguem com um propósito político e social local, contribuindo para o engajamento crítico dos estudantes e para o exercício da cidadania ativa. É possível ampliar o trabalho com a habilidade para que os estudantes analisem a qualidade e relevância dos argumentos apresentados para que eles, estudantes, possam se posicionar criticamente em relação aos temas tratados. Nos currículos, esta habilidade pode dialogar com as habilidades do eixo leitura (EF09LI05, EF09LI06, EF09LI07 e EF09LI09), afinal, as estratégias de compreensão de textos em inglês, sejam eles orais ou escritos, se assemelham, apesar das particularidades de cada uma das modalidades da língua.
Língua Inglesa	9º	Eixo oralidade	Produção oral	Produção de textos orais com autonomia	EF09LI04	Expor resultados de pesquisa ou estudo com o apoio de recursos, tais como notas, gráficos, tabelas, entre outros, adequando as estratégias de construção do texto oral aos objetivos de comunicação e ao contexto.	Esta habilidade refere-se à produção oral do estudante que expõe uma pesquisa articulando a apresentação com outros textos, e que  dialoguem com a finalidade e o contexto da comunicação.	Na elaboração do currículo, é importante orientar que a produção oral  aconteça em situações significativas de uso da língua inglesa, como, por exemplo, em apresentações em eventos escolares, com a audiência constituída dos membros da sala de aula, ou da comunidade escolar. É importante que nessa exposição, o estudante demonstre ter retomado outras habilidades, desenvolvidas em anos anteriores (como selecionar informações, pesquisar dados, etc.), inclusive em um ensaio de fala como preparação para a apresentação. A habilidade se articula bem a projetos de pesquisa integrados com outros componentes curriculares.  e com temas que sejam de interesse do aluno e/ou da comunidade. Os currículos podem destacar a importância do desenvolvimento das habilidades do eixo conhecimentos linguísticos (EF09LI14, EF09LI15 e EF09LI16) para repertoriar e aprimorar a produção do texto oral proposta nesta habilidade.
Língua Inglesa	9º	Eixo leitura	Estratégias de leitura	Recursos de persuasão	EF09LI05	Identificar recursos de persuasão (escolha e jogo de palavras, uso de cores e imagens, tamanho de letras), utilizados nos textos publicitários e de propaganda, como elementos de convencimento.	Trata-se de habilidade que demanda a leitura crítica de textos publicitários e de propaganda, reconhecendo sentido implícito nos elementos linguísticos e não-linguísticos usados para persuasão (uso de cores e imagens, escolha de palavras, tamanho de letras etc.).	Na elaboração do currículo, pode-se contar com a seleção de textos publicitários diversos (anúncios digitais,  propagandas, folhetos comerciais, flyers, dentre outros) .  Essa variedade de textos é importante para que os alunos possam ver como recursos e diferentes elementos linguísticos implicam em resultados diferentes  para convencer, para persuadir o consumidor, por exemplo. A habilidade se articula bem a projetos de pesquisa integrados com outros componentes curriculares  e com temas que sejam de interesse do aluno e/ou relevantes para a formação de sua identidade. .
Língua Inglesa	9º	Eixo leitura	Estratégias de leitura	Recursos de argumentação	EF09LI06	Distinguir fatos de opiniões em textos argumentativos da esfera jornalística.	Esta habilidade pressupõe que o estudante possa aplicar conhecimentos desenvolvidos por meio de outras habilidades que já fazem parte do seu repertório e, portanto, retoma também estratégias    de compreensão de textos trabalhadas  em anos anteriores. Potencializa ainda, o  o desenvolvimento de leitura crítica e de letramento crítico.	Na elaboração do currículo, recomenda-se que sejam selecionados textos da esfera jornalística (editorial, crônica, opinião do leitor, dentre outros),   com temáticas que favoreçam a reflexão/problematização dos temas tratados. Há, aqui, oportunidade para o trabalho interdisciplinar com a habilidade (EF89LP01), da Língua Portuguesa, no que se refere à distinção e análise da qualidade das informações em textos jornalísticos.
Língua Inglesa	9º	Eixo leitura	Estratégias de leitura	Recursos de argumentação	EF09LI07	Identificar argumentos principais e as evidências/exemplos que os sustentam.	Esta habilidade pressupõe que o estudante possa aplicar conhecimentos desenvolvidos por meio de outras habilidades que já fazem parte de seu repertório e, portanto, retoma também estratégias de compreensão de texto trabalhadas  em anos anteriores. Potencializa ainda, o desenvolvimento de leitura crítica e de letramento crítico.	Na elaboração do currículo, recomenda-se que sejam selecionados textos da esfera jornalística (editorial, crônica, opinião do leitor, dentre outros),   com temáticas que favoreçam a reflexão/problematização dos temas tratados. A habilidade pode ser ampliada para que os estudantes percebam como marcas tipográficas  e indicam conteúdo de modo a legitimar e sustentar a argumentação (por exemplo, uso de aspas para indicar citação de especialistas, uso de dados estatístico, dentre outros).
Língua Inglesa	9º	Eixo leitura	Práticas de leitura e novas tecnologias	Informações em ambientes virtuais	EF09LI08	Explorar ambientes virtuais de informação e socialização, analisando a qualidade e a validade das informações veiculadas.	Explorar, neste contexto,  significa descobrir e usufruir da tecnologia de modo responsável e ético. . Esta habilidade amplia as práticas de leitura e o uso de novas tecnologias, agora, com o foco na conscientização sobre a importância da busca de fontes confiáveis de informação e na avaliação das informações veiculadas em redes sociais, por exemplo. .	Na elaboração do currículo, a habilidade pode ser trabalhada a partir do uso que os estudantes já fazem de ambientes virtuais de informação e de redes sociais, de modo a refletir sobre como ser  usuário da internet traz responsabilidades no trato da informação, na sua socialização e também, no cuidado que todos devem ter ao navegar na internet.  A habilidade pode ser trabalhada em situações-problema que possam confrontar dois ou mais sites que possuam informações conflitantes sobre um tema de pesquisa (Em qual site confiar? Por quê?), incluindo aqueles que são para socialização dos alunos, como as redes sociais. Outra sugestão seria desenvolver a habilidade com outros componentes curriculares em projetos interdisciplinares.
Língua Inglesa	9º	Eixo leitura	Avaliação dos textos lidos	Reflexão pós-leitura	EF09LI09	Compartilhar, com os colegas, a leitura dos textos escritos pelo grupo, valorizando os diferentes pontos de vista defendidos, com ética e respeito.	A habilidade amplia a capacidade do estudante de  avaliação de textos produzidos por colegas e agrega aspectos socioatitudinais. O foco está no modo como o estudante faz essa avaliação, que deve respeitar os posicionamentos, os argumentos apresentados no texto, de modo respeitoso e ético.	Na elaboração do currículo, essa habilidade deve estar relacionada a práticas de produção de textos escritos, a partir de um trabalho com a escrita processual, e está articulada com a habilidade EF09LI12. A habilidade também pode ser trabalhada em outros momentos de partilha de leitura de textos sobre outros temas, com o foco no comportamento leitor e no diálogo respeitoso entre os estudantes  sobre os assuntos tratados nos textos. .
Língua Inglesa	9º	Eixo escrita	Estratégias de escrita	Escrita: construção da argumentação	EF09LI10	Propor potenciais argumentos para expor e defender ponto de vista em texto escrito, refletindo sobre o tema proposto e pesquisando dados, evidências e exemplos para sustentar os argumentos, organizando-os em sequência lógica.	A habilidade é complexa porque envolve o conhecimento de processos de pesquisa, seleção de informações (evidências) e conhecimentos linguísticos construídos anteriormente (por exemplo, conhecimentos linguísticos que apoiem o trabalho com a leitura, a pesquisa de informações, etc.). Pressupõe também a observação da organização textual   e do propósito do texto argumentativo que será rascunhado.	Na elaboração do currículo, a produção escrita pode estar articulada a práticas de leitura, nas quais o estudo da organização e estrutura dos textos lidos contribua como referência para a produção de textos, não como um modelo a ser seguido, mas como práticas que oferecem repertório linguístico para que o estudante experimente produzir textos personalizados. . O currículo deve orientar  a produção de textos em situações significativas de uso da língua inglesa. Para isso,  projetos e/ou sequências didáticas que proponham, por exemplo, a divulgação dos textos em contextos reais de uso da língua inglesa (blogs, sites, fóruns, redes sociais) são boas estratégias para desenvolver a habilidade . Ela também pode potencializar  o posicionamento crítico e ético do estudante.
Língua Inglesa	9º	Eixo escrita	Estratégias de escrita	Escrita: construção da persuasão	EF09LI11	Utilizar recursos verbais e não verbais para construção da persuasão em textos da esfera publicitária, de forma adequada ao contexto de circulação (produção e compreensão).	A habilidade sugere a produção escrita de textos autorais persuasivos da esfera publicitária que utilizem recursos verbais (jogos de palavras, por exemplo ) e não-verbais (uso de cores, por exemplo). Para isso, a compreensão e análise  de recursos verbais e não-verbais para a construção da persuasão em textos da esfera publicitária (na habilidade EF09LI05) deve anteceder o desenvolvimento desta habilidade.	Na elaboração do currículo, deve-se articular a habilidade a práticas de leitura e compreensão oral de textos que sirvam  para repertoriar a produção escrit. O currículo deve orientar a produção de textos  em situações significativas de uso da língua inglesa. Para isso,  projetos e/ou sequências didáticas que proponham, por exemplo, a divulgação dos textos (anúncios, propagandas, flyers) em contextos reais de uso da língua inglesa (blogs, sites e redes sociais) são boas estratégias para desenvolver a habilidade. Ela também pode potencializar o  posicionamento crítico e ético do estudante.
Língua Inglesa	9º	Eixo escrita	Práticas de escrita	Produção de textos escritos, com mediação do professor/colegas	EF09LI12	Produzir textos (infográficos, fóruns de discussão on-line, fotorreportagens, campanhas publicitárias, memes, entre outros) sobre temas de interesse coletivo local ou global, que revelem posicionamento crítico.	Produzir significa utilizar diferentes recursos linguísticos para compor textos de modo coerente (imagens, vídeos, linguagem verbal escrita, ícones, dentre outros) . Essa habilidade articula outras que remetem  à natureza processual da escrita (planejamento, produção, revisão) e o propósito comunicativo do ato de escrever.	.Na elaboração do currículo, deve-se articular a habilidade a práticas de leitura e compreensão oral de textos que sirvam  para repertoriar a produção  do estudante. O currículo deve orientar a produção de textos  em situações significativas de uso da língua inglesa. Para isso,  projetos e/ou sequências didáticas que proponham, por exemplo, a divulgação dos textos em contextos reais de uso da língua inglesa (blogs, sites e redes sociais) são boas estratégias para desenvolver a habilidade. Ela também pode potencializar o posicionamento crítico e ético do estudante. A habilidade prevê que os textos elaborados sejam de natureza crítica sobre assuntos relevantes para a comunidade, e que sejam escritos em gêneros diversos que combinem elementos verbais e não-verbais .  Há, aqui, oportunidade para o trabalho interdisciplinar com a habilidade (EF09LP12), em Língua Portuguesa, associada à produção de textos com posicionamento crítico.
Língua Inglesa	9º	Eixo conhecimentos linguísticos	Estudo do léxico	Usos de linguagem em meio digital: “internetês”	EF09LI13	Reconhecer, nos novos gêneros digitais (blogues, mensagens instantâneas, tweets, entre outros), novas formas de escrita (abreviação de palavras, palavras com combinação de letras e números, pictogramas, símbolos gráficos, entre outros) na constituição das mensagens.	Reconhecer, neste contexto,  pressupõe compreender o significado e função das  novas formas de escrita na constituição das mensagens (emojis, abreviações, internetês etc.). A habilidade se articula com outras, relativas à construção de repertório lexical sobre novos gêneros digitais e a escrita processual.	Na elaboração do currículo, recomenda-se articular esta habilidade com as propostas de produção e compreensão de textos  escritos e multimodais que serão sugeridas ao longo do ano.  A habilidade pode ser desenvolvida por meio de atividades  de uso, análise e reflexão sobre a língua e seu funcionamento.  Ela também  também pode ser desenvolvida de forma articulada com a habilidade (EF09LI12). Há, aqui, oportunidade para o trabalho interdisciplinar  com a habilidade (EF89LP02) em Língua Portuguesa, retomando-a e ampliando-a, já que aquela habilidade trata do  reconhecimento e análise de diferentes práticas e textos pertencentes a diferentes gêneros da cultura digital.
Língua Inglesa	9º	Eixo conhecimentos linguísticos	Estudo do léxico	Conectores (linking words)	EF09LI14	Utilizar conectores indicadores de adição, condição, oposição, contraste, conclusão e síntese como auxiliares na construção da argumentação e intencionalidade discursiva.	Utilizar os conectores pressupõe conhecer o significado e  função dos mesmos, de modo a usá-los de modo coerente para expressar as relações que eles indicam.  .	Na elaboração do currículo, pode-se articular esta habilidade com as propostas de produção de textos e atividades de interação oral.  de modo a oportunizar o uso contextualizado e significativo desse conteúdo linguístico. No currículo, a habilidade deve ser desenvolvida por meio de atividades de uso, análise e reflexão sobre a língua e seu funcionamento. a. Também pode ser trabalhada de modo contrastivo, para a identificação de similaridades e diferenças entre a língua inglesa, a língua portuguesa e outras línguas que porventura os alunos também conheçam.
Língua Inglesa	9º	Eixo conhecimentos linguísticos	Gramática	Orações condicionais (tipos 1 e 2)	EF09LI15	Empregar, de modo inteligível, as formas verbais em orações condicionais dos tipos 1 e 2 (If-clauses).	Empregar determinado conteúdo de forma inteligível pressupõe utilizar tais conteúdos em textos e interações orais , entendendo seu uso e forma, e comunicando ideias compreensíveis na língua inglesa, ainda que, do ponto de vista da forma/estrutura, o emprego não seja  preciso.	Na elaboração do currículo, pode-se articular esta habilidade com as propostas de produção textos orais e escritos. A habilidade pode ser desenvolvida por meio de atividades de uso, análise e reflexão sobre a língua e seu funcionamento.. Também pode ser trabalhada de modo contrastivo, ,  para a identificação de similaridades e diferenças entre a língua inglesa, a língua portuguesa e outras línguas que porventura os alunos também conheçam.
Língua Inglesa	9º	Eixo conhecimentos linguísticos	Gramática	Verbos modais: should, must, have to, may e might	EF09LI16	Empregar, de modo inteligível, os verbos should, must, have to, may e might para indicar recomendação, necessidade ou obrigação e probabilidade.	Empregar determinado conteúdo de forma inteligível pressupõe utilizar tais conteúdos em textos e interações orais , entendendo seu uso e forma, e comunicando ideias compreensíveis na língua inglesa, ainda que, do ponto de vista da forma/estrutura , o emprego não seja  preciso.	Na elaboração do currículo, pode-se articular esta habilidade com as propostas de produção de textos orais e escritos. A habilidade pode ser desenvolvida por meio de atividades de uso, análise e reflexão sobre a língua e seu funcionamento. Também pode ser trabalhada de modo contrastivo,   para a identificação de similaridades e diferenças entre a língua inglesa, a língua portuguesa e outras línguas que porventura o aluno também conheça.
Língua Inglesa	9º	Eixo dimensão intercultural	A língua inglesa no mundo	Expansão da língua inglesa: contexto histórico	EF09LI17	Debater sobre a expansão da língua inglesa pelo mundo, em função do processo de colonização nas Américas, África, Ásia e Oceania.	Por debater, subentende-se estudar para, posteriormente, examinar e questionar, com criticidade, de que modo a expansão da língua inglesa pelo mundo se relaciona com o processo de colonização nas Américas, África, Ásia e Oceania	Na elaboração do currículo, é possível trabalhar esta habilidade de modo integrado a práticas de compreensão de textos orais e escritos, multimodais que permitam repertoriar o estudante com argumentos, informações, dados para que ele possa debater, problematizando as implicações e o papel que a expansão da língua inglesa teve com  processo de colonização ao redor do mundo. Esse debate pode ocorrer em português e/ou em inglês, dependendo do planejamento que se faça ao longo do ano e dos contextos locais. O mais importante é propor o debate e, nesse sentido, desenvolver a habilidade de modo integrado com outros componentes curriculares em projetos interdisciplinares . A habilidade ainda potencializa a retomada de outras habilidades, como  a formulação de perguntas, interpretação de dados, desenvolvimento de hipóteses, avaliação do raciocínio e explicação de evidências. Há, aqui, oportunidade para o trabalho interdisciplinar com as habilidades(EF09HI14), da História; e (EF09GE06), da Geografia, associadas a caracterização e discussão do processo de colonização em diferentes partes do mundo e suas implicações.
Língua Inglesa	9º	Eixo dimensão intercultural	A língua inglesa no mundo	A língua inglesa e seu papel no intercâmbio científico, econômico e político	EF09LI18	Analisar a importância da língua inglesa para o desenvolvimento das ciências (produção, divulgação e discussão de novos conhecimentos), da economia e da política no cenário mundial.	Por analisar, subentende-se entender  para, posteriormente, verificar e avaliar a importância da língua inglesa para o desenvolvimento das ciências, da economia e da política no mundo. Esta habilidade leva ao entendimento da função social e política do inglês como língua franca.	Na elaboração do currículo, é possível articular  essa habilidade às práticas de leitura e compreensão de textos orais,. É importante que o estudante, dessa forma, se conscientize sobre a importância do inglês nos âmbitos político, econômico e científico com relação ao compartilhamento de estudos e de conhecimentos . Uma estratégia  é elaborar projetos e/ou sequências didáticas que possibilitem a articulação da habilidade com textos orais e escritos sugeridos para o ano. Nesse caso, a leitura ou a escuta de textos, deverá  servir de fonte de informação para o tema e, posteriormente, sugerem-se propostas que provoquem a reflexão e o debate de seu conteúdo. . Desenvolver a habilidade de modo integrado com outros componentes curriculares em projetos interdisciplinares é uma boa estratégia. A habilidade ainda potencializa a retomada de outras habilidades, como  a formulação de perguntas, interpretação de dados, desenvolvimento de hipóteses, avaliação do raciocínio e explicação de evidências.
Língua Inglesa	9º	Eixo dimensão intercultural	Comunicação intercultural	Construção de identidades no mundo globalizado	EF09LI19	Discutir a comunicação intercultural por meio da língua inglesa como mecanismo de valorização pessoal e de construção de identidades no mundo globalizado.	Por discutir, subentende-se estudar para, posteriormente, debater de que modo a língua inglesa viabiliza a comunicação intercultural e potencializa a construção de identidades por meio dessa comunicação.	Na elaboração do currículo, é possível desenvolver essa  habilidade  por meio das práticas de linguagem (leitura, interação oral, compreensão oral). É importante que o aluno, dessa forma, se conscientize sobre a importância da comunicação intercultural que o inglês proporciona, e de como isso influencia na criação de identidades plurais, abertas. Uma estratégia é propor projetos e/ou sequências didáticas que possibilitem a articulação da habilidade com textos orais e escritos sugeridos para o ano. Nesse caso, a leitura ou a escuta do texto referido poderá servir de fonte de informação para o tema e, posteriormente, sugerem-se propostas que provoquem a reflexão e o debate de seu conteúdo. . Desenvolver a habilidade de modo integrado com outros componentes curriculares em projetos interdisciplinares é uma boa estratégia. A habilidade ainda potencializa a retomada de outras habilidades, como  a formulação de perguntas, interpretação de dados, desenvolvimento de hipóteses, avaliação do raciocínio e explicação de evidências.
Educação Física	1º; 2º	-	Brincadeiras e jogos	Brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional	EF12EF01	Experimentar, fruir e recriar diferentes brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional, reconhecendo e respeitando as diferenças individuais de desempenho dos colegas.	Experimentar brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional significa se apropriar de aprendizagens que só podem ser acessadas pela experiência corporal, ou seja, devem ser efetivamente vivenciadas. O fruir se relaciona às aprendizagens que permitem ao aluno desfrutar da realização de uma determinada prática corporal ou apreciá-la quando realizada por outros. Recriar é um processo complexo, que demanda uma série de outras aprendizagens e que, nesse grupo etário, pode se desenvolver, por exemplo, solicitando que recriem uma brincadeira que praticam em casa para mostrar aos colegas, adaptando os materiais e espaços disponíveis na escola. As brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional referem-se a práticas que fazem parte do dia a dia dos alunos, aquelas que praticam e aquelas que observam outras pessoas praticando. Desenvolver essa habilidade reconhecendo e respeitando as diferenças individuais de desempenho dos colegas possibilita a exploração de dois importantes aspectos relacionados ao movimento: 1. Habilidades motoras: são todos os movimentos que aprendemos, são incorporados e podem ser utilizados em tarefas cada vez mais específicas. 2. Capacidades físicas: são características que nossos movimentos apresentam e que podem ser aprimorados, como a força muscular, o equilíbrio e a velocidade.	Na elaboração do currículo, pode-se partir das características locais, estipulando experiências de brincadeiras e jogos que fazem parte do contexto comunitário e regional, propondo experiências positivas aos alunos. Ao participar de uma brincadeira ou jogo que exige movimentos com os quais não se está acostumado, é natural que haja insegurança ou dificuldade, e é nesse momento que as diferenças se evidenciam. É interessante que o currículo local proponha uma organização com a prática de brincadeiras e jogos com exigência de habilidades motoras mais simples para as mais complexas, e que possibilite aos alunos discutirem sobre as habilidades que podem desenvolver ao praticá-las, trabalhando uma atitude positiva com relação às diferenças e à possibilidade de aprender e desenvolver-se continuamente. A mesma relação se estabelece com as capacidades físicas. As diferenças de força muscular, velocidade ou agilidade entre os alunos interferem no desempenho durante as práticas de brincadeiras e jogos. O desenvolvimento da habilidade possibilita a identificação e o estudo das capacidades físicas exigidas nas brincadeiras e jogos, assim como a importância desses atributos para o dia a dia. O reconhecimento dessas características possibilita o desenvolvimento das habilidades (EF12EF02) e (EF12EF03) para estes anos, e a conexão com as habilidades (EF35EF01) e (EF35EF02). Uma possibilidade de organização da habilidade por anos segundo um critério de complexidade pode ser por meio das habilidades motoras — das mais simples, como correr, saltar, rolar, chutar, arremessar, para as mais complexas, como correr e quicar a bola, arremessar ou chutar uma bola a um alvo específico.  Há, aqui, oportunidade de trabalho interdisciplinar com as habilidades (EF01HI05), de História; e (EF01GE02), de Geografia, voltadas à identificação de semelhanças e diferenças de jogos e brincadeiras de diferentes tempos e lugares.
